"1","Draft","Open","Y",,"2019-09-10 03:13:29.6300000","manager",,
"2","Reserved","Contract","Y",,"2019-09-10 03:13:29.6360000","manager",,
"3","Cancelled","Closed","Y",,"2019-09-10 03:13:29.6400000","manager",,
"4","Fully Paid","Fully Paid","Y",,"2019-09-10 03:13:29.6430000","manager",,
