"1","House and Lot",,"Y",,"2019-09-10 05:52:56.5240000","manager",,
"2","Commercial",,"Y",,"2019-09-10 05:52:56.5300000","manager",,
"3","Condominium",,"Y",,"2019-09-10 05:52:56.5340000","manager",,
"4","Lot",,"Y",,"2019-09-10 05:52:56.5380000","manager",,
