"1","Contract To Sell","Initial Docs","Y",,"2019-09-12 01:52:29.4180000","manager",,
"2","Deed of Absolute Sale","Loan Docs","Y",,"2019-09-12 01:52:29.4240000","manager","2019-09-12 01:53:03.1440000","manager"
